symbol,identifier,series,isin,industry,companyName,lastPrice,change,pChange,totalTradedVolume,totalTradedValue,yearHigh,nearWKH,nearWKL,perChange365d,perChange30d,key,index,indexSymbol,last,variation,percentChange,yearLow,declines,advances,unchanged,previousDay,oneWeekAgo,oneMonthAgo,oneYearAgo
TATAINVEST,TATAINVESTEQN,EQ,INE672A13013,Investment Company,Tata Investment Corporation Limited,6878.05,0.7,0.01,22731.0,156584539.29,9756.85,29.5054243941436,-179.4648843020539,197.21,17.18,,,,,,,,,,,,,,
IRB,IRBEQN,EQ,INE821I01022,Civil Construction,IRB Infrastructure Developers Limited,60.44,0.21,0.35,19071245.0,1147516811.65,78.15,22.661548304542556,-110.22608695652174,108.39,-1.77,,,,,,,,,,,,,,
RRKABEL,RRKABELEQN,EQ,INE777K01022,Cables - Electricals,R R Kabel Limited,1666.8,6.3,0.38,108733.0,180717507.99,1901.95,12.363626804069511,-46.622097114707955,-,-5.68,,,,,,,,,,,,,,
GMDCLTD,GMDCLTDEQN,EQ,INE131A01031,Industrial Minerals,Gujarat Mineral Development Corporation Limited,375.9,1.8,0.48,414814.0,154957917.84,506.0,25.71146245059289,-42.76490695024685,48.03,-6.65,,,,,,,,,,,,,,
CEATLTD,CEATLTDEQN,EQ,INE482A01020,Tyres & Rubber Products,CEAT Limited,3005.35,14.9,0.5,127407.0,381056500.02000004,3073.0,2.2014318255776146,-46.149731320057384,22.17,3.02,,,,,,,,,,,,,,
FSL,FSLEQN,EQ,INE684F01012,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),Firstsource Solutions Limited,309.8,2.1,0.68,4522687.0,1418495550.6799998,343.9,9.915673160802548,-108.90087660148347,80.72,1.98,,,,,,,,,,,,,,
CHAMBLFERT,CHAMBLFERTEQN,EQ,INE085A01013,Fertilizers,Chambal Fertilizers & Chemicals Limited,519.5,4.95,0.96,1448618.0,749703273.54,574.35,9.54992600330809,-97.19111785917632,86.49,-1.0,,,,,,,,,,,,,,
OLECTRA,OLECTRAEQN,EQ,INE260D01016,Passenger Cars & Utility Vehicles,Olectra Greentech Limited,1662.2,59.6,3.72,2211136.0,3670043532.7999997,2221.95,25.19183599990998,-63.28094302554028,25.95,-6.89,,,,,,,,,,,,,,
HSCL,HSCLEQN,EQ,INE019C01026,Specialty Chemicals,Himadri Speciality Chemical Limited,646.35,53.05,8.94,7158923.0,4479194942.639999,647.9,0.23923444976075853,-188.54910714285714,124.23,11.99,,,,,,,,,,,,,,
GODFRYPHLP,GODFRYPHLPEQN,EQ,INE260B01028,Cigarettes & Tobacco Products,Godfrey Phillips India Limited,7784.0,-451.45,-5.48,224658.0,1754365554.9,8480.0,8.20754716981132,-290.7434365744692,205.22,55.59,,,,,,,,,,,,,,
JWL,JWLEQN,EQ,INE209L01016,Railway Wagons,Jupiter Wagons Limited,523.15,-22.05,-4.04,838099.0,449095349.15000004,748.1,30.069509423873818,-96.08320839580207,59.68,-5.83,,,,,,,,,,,,,,
HOMEFIRST,HOMEFIRSTEQN,EQ,INE481N01025,Housing Finance Company,Home First Finance Company India Limited,1149.0,-38.4,-3.23,450564.0,518901041.88000005,1274.0,9.811616954474097,-47.94308890748729,33.56,12.37,,,,,,,,,,,,,,
VARROC,VARROCEQN,EQ,INE665L01035,Auto Components & Equipments,Varroc Engineering Limited,542.0,-15.75,-2.82,154745.0,84561952.7,716.9,24.39670804854233,-25.17321016166282,34.45,-10.39,,,,,,,,,,,,,,
KRBL,KRBLEQN,EQ,INE001B01026,Other Agricultural Products,KRBL Limited,313.55,-8.6,-2.67,1405601.0,444928940.54,427.95,26.73209487089613,-21.46039124539998,-23.75,4.01,,,,,,,,,,,,,,
FDC,FDCEQN,EQ,INE258B01022,Pharmaceuticals,FDC Limited,564.0,-15.5,-2.67,395208.0,225221135.04,658.85,14.396296577369661,-64.28779493154676,42.78,6.8,,,,,,,,,,,,,,
SYRMA,SYRMAEQN,EQ,INE0DYJ01015,Industrial Products,Syrma SGS Technology Limited,441.45,-11.45,-2.53,306744.0,136642182.23999998,705.2,37.400737379466825,-14.335664335664326,-18.14,-10.81,,,,,,,,,,,,,,
SCHNEIDER,SCHNEIDEREQN,EQ,INE839M01018,Heavy Electrical Equipment,Schneider Electric Infrastructure Limited,768.0,-19.65,-2.49,391238.0,304050611.7,980.0,21.632653061224488,-156.0,133.41,3.09,,,,,,,,,,,,,,
EIHOTEL,EIHOTELEQN,EQ,INE230A01023,Hotels & Resorts,EIH Limited,374.05,-8.85,-2.31,256486.0,96528506.10000001,502.2,25.517722023098365,-81.9751885186086,40.53,-8.38,,,,,,,,,,,,,,
